molecule,peak_value,unit,rel_intensity,source
kaempferol,1252.9,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
kaempferol,1274.2,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
kaempferol,1288.0,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
kaempferol,1306.9,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
kaempferol,1340.3,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
kaempferol,1353.4,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
kaempferol,1377.0,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
kaempferol,1390.0,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
kaempferol,1423.7,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
kaempferol,1451.5,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
kaempferol,1459.9,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
kaempferol,1489.1,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
kaempferol,1555.6,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
kaempferol,1573.7,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
kaempferol,1576.9,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
kaempferol,1602.7,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
kaempferol,1609.9,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
kaempferol,1640.5,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
kaempferol,2990.8,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
kaempferol,3054.4,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
kaempferol,3102.1,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
kaempferol,3104.9,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
kaempferol,3114.9,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
kaempferol,3115.4,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
kaempferol,3134.0,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
kaempferol,3267.2,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
kaempferol,3510.5,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
kaempferol,3516.1,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
quercetin,107.8,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
quercetin,138.2,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
quercetin,177.1,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
quercetin,201.0,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
quercetin,213.4,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
quercetin,222.0,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
quercetin,244.5,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
quercetin,263.7,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
quercetin,281.3,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
quercetin,283.7,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
quercetin,307.0,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
quercetin,343.4,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
quercetin,357.9,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
quercetin,382.4,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
quercetin,387.5,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
quercetin,395.9,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
quercetin,427.9,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
quercetin,440.0,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
quercetin,447.2,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
quercetin,454.6,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
quercetin,488.9,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
quercetin,496.4,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
quercetin,520.0,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
quercetin,543.1,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
quercetin,565.4,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
quercetin,581.7,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
quercetin,588.7,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
quercetin,595.6,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
quercetin,601.7,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
quercetin,620.0,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
quercetin,637.2,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
quercetin,656.3,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
quercetin,666.6,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
quercetin,676.4,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
quercetin,701.9,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
quercetin,720.8,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
quercetin,789.7,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
